username,postsCount,followersCount,followsCount,private,verified,account
ig_arjunyt,0,195,29,1,0,1
sashank_2k3,5,231,248,1,0,1
harsha_.031,7,322,399,1,0,1
ramcharan_routhu,7,336,664,0,0,1
saicharan_ravishetti8816,6,612,694,1,0,1
varunkallu._,2,198,101,0,0,1
_preethi_015,4,310,352,1,0,1
srinish_07,0,416,539,1,0,1
rezwanalishaik,13,574,600,0,0,1
meena0572,7,94,79,1,0,1
urs_truly_ravi__,17,52,37,0,0,1
saikamalmuvva,0,148,131,1,0,1
hanvi_sree,0,218,124,1,0,1
rider_preethi_9,0,254,265,1,0,1
x_rishi_reddy_x,16,810,473,0,0,1
ramsai8179,1,52,63,1,0,1
rr.varanasi,31,418,296,1,0,1
justmadhuuu,13,349,177,1,0,1
adarsh_challa04,2,334,1211,0,0,1
shivaraj_lingampally04,73,555,347,1,0,1
sathwi_ka__,1,212,249,1,0,1
ismartricky,18,325,362,1,0,1
sangishettirakesh,4,310,812,0,0,1
sahithimacherla,0,131,130,1,0,1
monu_the_princess,32,407,490,1,0,1
a.revanth_reddy,8,436,714,0,0,1
harshitha_indroji,9,199,198,1,0,1
_sai_pavan_reddy,0,285,440,1,0,1
sainaaath_03,78,878,1531,0,0,1
rupa_sri_25,8,191,476,1,0,1
__riyazalone__,21,597,946,1,0,1
s_a_i_rahul_4504,0,118,127,1,0,1
sai_nikh_dhawan,12,442,352,0,0,1
rajashekar_nalla_26,0,134,173,1,0,1
badrin_25,6,119,186,0,0,1
itsmevamshi_,12,189,1289,1,0,1
ibhanuprakashgandhe,2,409,453,0,0,1
rahul_munnur,3,588,432,1,0,1
_rajasri09,0,338,367,1,0,1
sahithi_urubandi,0,185,187,1,0,1
renukanutakki,0,36,50,1,0,1
_sandhya_03_,13,179,201,1,0,1
neel_802,0,142,159,1,0,1
m_yaswanth20,11,543,425,1,0,1
__keerthi._.2510___,1,121,132,1,0,1
rahul_belide,5,329,250,1,0,1
vennalaaa._,0,258,373,1,0,1
_x_.vikas_vicky._x_,44,465,404,1,0,1
