username,postsCount,followersCount,followsCount,private,verified,account
ig_arjunyt,0,195,29,1,0,1
sashank_2k3,5,231,248,1,0,1
harsha_.031,7,322,399,1,0,1
ramcharan_routhu,7,336,664,0,0,1
saicharan_ravishetti8816,6,612,694,1,0,1
varunkallu._,2,198,101,0,0,1
_preethi_015,4,310,352,1,0,1
srinish_07,0,416,539,1,0,1
rezwanalishaik,13,574,600,0,0,1
meena0572,7,94,79,1,0,1
urs_truly_ravi__,17,52,37,0,0,1
saikamalmuvva,0,148,131,1,0,1
hanvi_sree,0,218,124,1,0,1
rider_preethi_9,0,254,265,1,0,1
x_rishi_reddy_x,16,810,473,0,0,1
ramsai8179,1,52,63,1,0,1
rr.varanasi,31,418,296,1,0,1
justmadhuuu,13,349,177,1,0,1
adarsh_challa04,2,334,1211,0,0,1
shivaraj_lingampally04,73,555,347,1,0,1
sathwi_ka__,1,212,249,1,0,1
ismartricky,18,325,362,1,0,1
sangishettirakesh,4,310,812,0,0,1
sahithimacherla,0,131,130,1,0,1
monu_the_princess,32,407,490,1,0,1
a.revanth_reddy,8,436,714,0,0,1
harshitha_indroji,9,199,198,1,0,1
_sai_pavan_reddy,0,285,440,1,0,1
sainaaath_03,78,878,1531,0,0,1
rupa_sri_25,8,191,476,1,0,1
__riyazalone__,21,597,946,1,0,1
s_a_i_rahul_4504,0,118,127,1,0,1
sai_nikh_dhawan,12,442,352,0,0,1
rajashekar_nalla_26,0,134,173,1,0,1
badrin_25,6,119,186,0,0,1
itsmevamshi_,12,189,1289,1,0,1
ibhanuprakashgandhe,2,409,453,0,0,1
rahul_munnur,3,588,432,1,0,1
_rajasri09,0,338,367,1,0,1
sahithi_urubandi,0,185,187,1,0,1
renukanutakki,0,36,50,1,0,1
_sandhya_03_,13,179,201,1,0,1
neel_802,0,142,159,1,0,1
m_yaswanth20,11,543,425,1,0,1
__keerthi._.2510___,1,121,132,1,0,1
rahul_belide,5,329,250,1,0,1
vennalaaa._,0,258,373,1,0,1
_x_.vikas_vicky._x_,44,465,404,1,0,1
sai_kiran3243,41,661,555,1,0,1
_reena.09,0,176,175,1,0,1
m________ragni,0,278,597,0,0,0
d_oll_y930,0,0,7,0,0,0
priyadarlzz9,0,4,7,0,0,0
kohli.srh,0,0,54,1,0,0
subbalakshmi354,0,13,54,0,0,0
shuruti7494fun1,0,98,530,0,0,0
spacelover646,0,1,9,1,0,0
pritti6021,0,6,51,0,0,0
genuine_shruti_44,0,11,25,0,0,0
megha.saxena169,3,82,452,1,0,0
nisha_availeble,0,223,915,0,0,0
kajal_babes_avlb_4boys,0,71,591,0,0,0
juli_baby_4141,0,212,726,0,0,0
dolly____9309,0,1,1,1,0,0
offical_muskan_iz,1,83,315,0,0,0
sakshi_kumari_sell_00,1,17,92,0,0,0
space.lover2003,0,2,15,1,0,0
cuteg_ril4875,0,56,305,0,0,0
itz_me_shree1722,1,115,470,1,0,0
_muskan___rajput____,1,76,765,0,0,0
sakshi__jaiswal__rajput,0,130,513,0,0,0
zah_eerkhan.11,3,33,191,0,0,0
availablejerry_paid__,0,46,481,0,0,0
kriti_agrwaal3.13,0,64,564,0,0,0
taniya_paid43,0,4,142,0,0,0
amii.shah16,0,5,67,0,0,0
rc_vedio_call_service_01,0,11,122,0,0,0
guddu_fun_,0,18,219,0,0,0
shivanshi.telegram.voice.in,9,176,534,1,0,0
snehagupta8183,0,31,401,0,0,0
anchal__kumari99,4,101,794,0,0,0
priya_predictions,1,19,186,0,0,0
neha.sarma617,0,90,885,0,0,0
playboy68323,1,12,105,0,0,0
dream__girl__joya__09,0,49,776,0,0,0
teena_fun_9052,2,17,354,0,0,0
pooja_.w,5,77,147,0,0,0
queen_is_back321,1,91,324,0,0,0
shavi_x._0,0,35,495,0,0,0
komal__gupta_offical_,0,60,828,0,0,0
anita_jain_81,0,2,0,0,0,0
priya__paid___6010,0,13,259,0,0,0
sunita_yy.1,0,63,498,0,0,0
payal_singh_rajput2.3,0,22,567,0,0,0
priya_yadav4.8,0,57,533,0,0,0
chitra2.11,0,117,1378,0,0,0
